id,time_cost_native,time_cost_rule_only,time_cost_shots_1,time_cost_shots_3,time_cost_for_rule_and_shots_1,time_cost_for_rule_and_shots_3,sysml_xmi_native_score_by_llm,sysml_xmi_rule_only_score_by_llm,sysml_xmi_shots_1_score_by_llm,sysml_xmi_shots_3_score_by_llm,sysml_xmi_for_rule_and_shots_1_score_by_llm,sysml_xmi_for_rule_and_shots_3_score_by_llm,sysml_xmi_native_syntax_pass,sysml_xmi_rule_only_syntax_pass,sysml_xmi_shots_1_syntax_pass,sysml_xmi_shots_3_syntax_pass,sysml_xmi_for_rule_and_shots_1_syntax_pass,sysml_xmi_for_rule_and_shots_3_syntax_pass
_18_0_1_1a82048c_1407810783664_220384_17588,35.0486,19.558747,7.885852,8.804974,8.369792,10.959337,0.5,0.625,0.625,0.375,0.625,0.625,1,1,1,1,1,1
_18_0_1_1a82048c_1407810834286_900436_17594,23.034551,11.957133,7.009191,10.328512,10.012495,9.207119,0.5,0.25,0.75,0.75,0.875,0.875,1,1,1,1,1,1
_18_0_1_1a82048c_1407806400574_947166_17178,31.558181,15.546612,8.15971,8.717206,10.126828,11.970467,0.625,0.875,0.75,0.75,1,0.875,1,1,1,1,1,1
_18_0_1_1a82048c_1407810807306_516779_17591,20.586543,12.423635,8.183598,9.872702,10.491547,11.354245,0.5,0.625,0.25,0.625,0.625,0.625,1,1,1,1,1,1
_18_0_1_1a82048c_1407811003283_909464_17633,18.97415,12.874711,7.875735,7.697164,8.388936,9.100076,0.375,0.875,1,1,0.875,1,1,1,1,1,1,1
_18_0_1_1a82048c_1407811048830_814354_17639,36.010504,13.195189,7.910945,7.790226,8.749965,9.410124,0.5,1,1,1,1,1,1,1,1,1,1,1
_18_0_1_1a82048c_1407811095564_533381_17645,27.754606,13.725344,7.980406,8.651026,8.991063,9.309259,0.625,1,1,1,1,1,1,1,1,1,1,1
_18_0_1_1a82048c_1407811069706_659317_17642,22.343928,25.769813,6.81929,9.203859,7.768176,8.800121,0.5,0.625,0.625,0.25,0.625,0.625,1,1,1,1,1,1
_18_0_1_1a82048c_1407806268921_298389_17134,44.527956,17.725632,8.593195,8.590352,10.808558,11.252893,0.75,0.875,0.75,0.75,1,1,1,1,1,1,1,1
_18_0_1_1a82048c_1407810858714_632494_17597,24.554197,13.210418,7.861371,10.987262,8.271494,11.347936,0.625,0.625,0.625,0.625,0.625,0.625,1,1,1,1,1,1
_18_0_1_1a82048c_1407811031656_981646_17636,25.425084,28.929276,8.150085,8.457222,8.583116,9.096427,0.625,0.25,1,1,1,1,1,1,1,1,1,1
_18_0_1_1a82048c_1407811150733_580011_17648,16.700041,24.57232,7.869303,8.182092,8.488151,10.025691,0.625,0.625,0.625,0.375,0.625,0.625,1,1,1,1,1,1
_18_0_1_1a82048c_1407811179273_994081_17651,26.545781,13.948638,7.4423,7.641719,10.27692,11.252901,0.625,0.625,1,1,1,1,1,1,1,1,1,1
_18_0_1_1a82048c_1407885502399_421613_19453,17.330887,32.966758,6.644879,9.275824,8.080533,9.312505,0.5,0.25,0.625,0.625,0.625,0.625,1,0,1,1,1,1
_18_0_1_1a82048c_1407811131051_86935_17647,24.908396,26.12184,6.603745,7.91731,8.559895,11.457542,0.5,0.375,0.75,1,1,1,1,1,1,1,1,1
_18_0_1_1a82048c_1407885590524_24387_19477,31.402839,24.39342,7.995322,9.472113,9.1104,9.184442,0.5,0.5,0.625,0.375,0.625,0.625,1,1,1,1,1,1
_18_0_1_1a82048c_1407885675462_744148_19498,28.063262,13.477707,8.181192,7.110442,7.365124,8.786124,0.625,0.625,0.625,0.625,0.625,0.625,1,1,1,1,1,1
_18_0_1_1a82048c_1407885540211_523752_19465,24.616988,12.492703,8.07003,7.581332,9.189807,8.759005,0.625,1,1,1,0.875,1,1,1,1,1,1,1
_18_0_1_1a82048c_1407811218389_799859_17657,26.206004,24.416342,7.754846,9.358559,9.298348,12.045071,0.5,0.625,1,1,1,1,1,1,1,1,1,1
_18_0_1_1a82048c_1407885835103_379744_19745,19.318116,15.366059,8.513333,9.000549,9.102579,12.482466,0.5,0.875,1,1,0.75,1,1,1,1,1,1,1
_18_0_1_1a82048c_1407885821431_839834_19742,19.908497,15.584149,9.0057,9.75276,9.897275,12.920295,0.5,0.875,1,1,0.875,1,1,1,1,1,1,1
_18_0_1_1a82048c_1407885985243_807558_19909,27.205059,14.464919,9.781838,9.924443,10.016291,10.190312,0.5,0.875,0.625,0.625,0.625,1,1,1,1,1,1,1
_18_0_1_1a82048c_1407885861290_935361_19748,18.607727,15.646435,8.945241,10.086819,9.205765,10.657212,0.5,0.75,0.625,0.625,0.625,0.625,1,1,1,1,1,1
_18_0_1_1a82048c_1407886091166_469401_20024,27.963823,15.598634,8.683111,8.588918,10.127858,10.944257,0.625,0.375,0.875,1,0.875,0.875,1,1,1,1,1,0
_18_0_1_1a82048c_1407885996681_894692_19912,25.570768,11.749759,9.871989,10.056019,10.114479,10.334589,0.5,0.875,1,1,1,1,1,1,1,1,1,1
_18_0_1_1a82048c_1407976625987_767761_21401,13.475891,17.011359,8.493201,7.96682,8.076716,9.178837,0.75,1,0.875,0.5,1,1,0,1,1,1,1,1
_18_0_1_1a82048c_1407886140213_894637_20036,28.335231,14.838929,9.616798,9.799798,9.646734,10.837392,0.625,0.625,0.625,0.625,0.625,0.625,1,1,1,1,1,1
_18_0_1_1a82048c_1407976643456_230941_21404,22.976683,11.691513,7.592692,10.413153,8.586236,9.622051,0.5,0.75,1,1,1,1,1,1,1,1,1,1
_18_0_1_1a82048c_1407975033074_857922_20259,16.104678,14.580385,8.220259,8.911065,10.032544,11.580676,0.625,0.75,0.75,1,0.75,0.75,1,1,1,1,1,1
_18_0_1_1a82048c_1407886293900_198383_20051,32.856354,17.636645,9.102103,9.105324,15.554552,9.778632,0.625,0.875,1,1,0.75,1,1,1,1,1,1,1
_18_0_1_1a82048c_1407976768175_610512_21428,11.450808,16.055511,8.284777,8.06805,10.73361,11.354679,0.375,0.875,0.75,0.75,0.875,1,1,1,1,1,1,1
_18_0_1_1a82048c_1407886309182_345130_20054,33.503919,15.600957,9.182698,8.799716,15.452332,11.0497,0.75,0.875,1,1,0.875,1,1,1,1,1,1,1
_18_0_1_1a82048c_1407975452620_377435_20262,35.88702,16.134023,8.351285,8.904893,10.003817,10.276462,0.75,0.75,1,1,0.875,1,1,1,1,1,1,1
_18_0_1_1a82048c_1407886326400_910340_20057,34.577229,14.761501,8.997789,10.316351,9.819621,10.424043,0.75,0.75,1,1,0.75,1,1,1,1,1,1,1
_18_0_1_1a82048c_1407977076660_2403_21497,10.769337,13.396312,8.12398,8.894029,8.526452,10.626499,0.375,1,1,1,1,1,1,1,1,1,1,1
_18_0_1_1a82048c_1407977013785_628128_21485,36.102177,14.320164,8.590192,8.591084,10.103928,11.052632,0.375,1,0.375,0.375,1,0.875,1,1,1,1,1,1
_18_0_1_1a82048c_1407977062582_221485_21494,33.748979,13.897776,7.827571,8.697889,11.068861,10.015618,0.625,0.875,0.75,0.75,1,0.75,1,1,1,1,1,1
_18_0_1_1a82048c_1407976711143_196351_21416,33.159561,15.221409,8.004398,10.433533,10.12979,13.302124,0.75,1,0.75,0.75,1,1,1,1,1,1,1,1
_18_0_1_1a82048c_1407977048769_440926_21491,31.154063,15.612493,8.389679,10.181062,11.509668,10.935951,0.625,1,0.75,0.75,1,1,1,1,1,1,1,1
_18_0_1_1a82048c_1407977026691_728227_21488,32.8619,14.28193,7.578596,9.003407,11.460953,13.302507,0.625,1,0.75,0.75,1,1,1,1,1,1,1,1
_18_0_1_1a82048c_1407977090316_695092_21500,15.173586,13.102855,8.796434,8.581534,8.693884,9.000607,0.5,0.375,1,1,1,1,1,1,1,1,1,1
_18_0_1_1a82048c_1408063112880_264361_21694,36.271185,15.057082,8.193903,7.845204,11.047037,10.639021,0.375,0.875,0.75,0.75,1,1,1,1,1,1,1,1
_18_0_1_1a82048c_1408063095299_121937_21691,32.849655,15.20388,10.428846,10.142844,12.022457,8.786335,0.625,0.875,0.75,0.75,0.875,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1408117356353_435696_13580,34.138633,14.845315,8.027678,8.998782,9.994328,11.321138,0.625,0.875,0.75,0.75,0.875,1,1,1,1,1,1,1
_18_0_1_ae502ce_1408117380221_361325_13588,18.632758,14.707369,8.999537,9.795561,11.559141,10.943258,0.5,1,1,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1409017307183_278828_20499,17.027185,14.515789,9.105133,9.410157,10.539255,11.150009,0.5,0.75,1,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1409017461702_747176_20515,22.771893,15.172915,8.178576,10.232943,10.024987,10.32981,0.5,1,1,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1409017285733_67091_20491,30.122588,15.04941,9.642497,9.620539,9.717919,11.087487,0.625,0.875,1,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1409017264204_287139_20483,35.262663,14.689244,9.820157,9.206531,12.076289,11.283644,0.75,0.75,1,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1409103290888_237843_14067,23.919397,15.027094,8.181424,9.318418,9.843803,10.029008,0.625,0.75,1,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1409103797002_804658_14392,26.778433,11.029484,9.205449,8.926446,9.81749,10.950975,0.625,0.25,0.375,0.375,0.375,0.375,1,1,1,1,1,1
_18_0_1_ae502ce_1409103563713_95213_14241,18.317711,15.364213,8.59021,9.748163,10.165779,11.112229,0.625,0.875,0.75,0.75,0.875,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1409103548439_570882_14225,50.23244,14.931386,10.095043,10.35759,10.536707,11.169598,0.75,0.875,0.875,0.875,1,0.875,1,1,1,1,1,1
_18_0_1_ae502ce_1409108902491_210780_16895,14.097399,14.913009,8.682913,8.677251,9.755363,11.768385,0.75,0.875,0.75,0.75,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1409103773739_293595_14360,29.310991,19.727601,9.672024,9.377648,9.909655,11.357454,0.75,0.75,0.75,0.75,0.75,0.75,0,1,1,1,1,1
_18_0_1_ae502ce_1409103321090_801670_14080,26.971476,17.251472,9.515774,11.76468,10.240132,13.407847,0.75,0.875,1,1,1,1,0,1,1,1,1,1
_18_0_1_ae502ce_1409109247805_131168_17122,12.611009,11.195514,7.796303,13.573059,8.786808,9.266602,0.375,0.375,0.375,0,0.75,0.875,1,1,1,1,1,1
_18_0_1_ae502ce_1409105847353_331099_14997,37.856615,16.017317,8.748323,9.309189,10.393243,11.0487,0.375,0.875,0.75,0.75,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1409108917997_130303_16903,10.749388,11.899898,10.860181,8.891699,12.225825,10.361904,0.75,1,0.75,0.75,0.875,1,1,1,1,1,1,1
_18_0_1_ae502ce_1409109115185_307316_17025,18.452979,10.027432,8.739437,8.591759,8.099251,9.486665,0.75,0.375,0.75,0.375,0.375,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1409186418701_915617_13739,23.347967,12.929854,7.577176,7.582142,8.651759,8.829206,0.625,1,1,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1409105858418_568714_15005,24.012318,13.060601,8.974794,12.345802,10.211218,12.57655,0.625,0.75,0.375,0.625,0.375,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1409243663783_107505_17280,28.274132,13.306773,7.966571,7.680574,8.29928,9.443666,0.75,1,1,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1409108921850_148965_16911,28.366975,15.196627,8.310933,8.579839,11.148947,11.550788,0.75,0.875,0.75,0.75,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1409103812259_964559_14415,40.03637,15.800647,9.08968,9.367394,10.188646,12.892551,0.625,0.375,0.75,0.75,0.75,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1409187123809_674447_13943,24.507114,15.984269,8.786027,10.118848,10.294926,11.038172,0.75,1,0.75,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1409243823378_725902_17308,13.824689,14.070159,8.665896,8.898504,10.392251,11.430076,0.75,0.875,0.75,0.75,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1409108987262_204339_16968,45.401697,15.014204,8.699609,9.044776,8.95281,10.848302,0.375,0.875,0.75,0.75,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1409243837343_626719_17322,22.395691,13.961174,7.361767,7.566224,8.075452,8.744589,0.625,1,1,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1413161530347_625536_45616,16.192695,11.916469,9.715152,8.384884,8.519711,11.362044,0.625,1,1,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1409187318842_893812_14075,27.600396,16.230295,7.567667,7.947409,9.58657,11.056662,0.375,1,0.75,0.75,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1409244520191_963111_17728,13.52253,16.267143,8.489025,8.682152,11.789159,10.439735,0.375,0.875,0.75,0.75,0.875,1,1,1,1,1,1,1
_18_0_1_ae502ce_1413168445828_536285_43594,28.010696,13.607388,8.299549,7.778581,8.994937,9.079748,0.75,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1413168419979_784561_43588,20.414731,13.440332,7.67095,7.930669,8.380879,9.213999,0.625,0.75,0.75,0.75,0.75,0.875,1,1,1,1,1,1
_18_1_ae502ce_1423348355487_368347_50312,40.138772,15.025871,9.493662,9.717965,10.667631,10.32028,0.625,0.875,1,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1409447580459_423281_15387,10.397088,13.217745,7.35018,8.067253,8.79455,8.96627,1,1,1,1,1,1,1,0,1,1,1,1
_18_0_1_ae502ce_1413168461771_430911_43600,23.949349,20.482978,8.667145,7.25962,9.337109,8.912577,0.25,0.75,0.75,1,1,1,0,1,1,1,1,1
_18_1_ae502ce_1423346759318_924684_50042,23.482282,10.211327,7.772406,8.330922,11.561697,8.723975,0.625,0.75,0.75,0.875,0.75,0.375,1,1,1,1,1,1
_18_0_1_ae502ce_1414677234036_279991_45170,24.307434,13.472241,11.278172,10.228545,10.023523,10.745451,0.75,1,1,1,1,0.875,1,1,1,1,1,1
_18_1_ae502ce_1424547920538_816415_56757,10.345247,10.69603,7.440881,8.796829,8.093242,7.957101,0.625,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1
_18_1_ae502ce_1423348593110_472230_50426,32.746935,16.479469,8.47779,8.612641,10.335899,11.367557,0.375,0.875,0.75,0.375,1,0.875,1,1,1,1,1,1
_18_1_ae502ce_1423348476007_609432_50356,36.203231,16.728404,7.158425,9.718502,10.426349,11.144465,0.375,0.875,0.625,1,0.625,1,1,1,1,1,1,1
_18_1_ae502ce_1423346657183_699105_49998,31.549286,14.060436,8.16034,9.312346,9.039371,9.774065,0.625,1,0.75,1,1,0.875,1,1,1,1,1,1
_18_1_ae502ce_1423346805222_601602_50078,23.767151,12.964986,7.799937,8.515801,10.800794,8.265896,0.5,0.75,0.375,0.875,0.375,0.75,1,1,1,1,1,1
_18_1_ae502ce_1423346727511_635900_50028,25.612411,13.642887,9.672482,10.116033,10.104013,10.809377,0.5,1,1,1,0.875,1,1,1,1,1,1,1
_18_0_1_ae502ce_1409245202878_322079_18285,30.363947,14.646209,7.8822,8.984868,9.76251,10.580646,0.625,1,0.75,0.75,1,1,1,1,1,1,1,1
_18_1_ae502ce_1423346773430_727063_50052,25.434817,13.864901,9.613962,8.977802,8.624505,8.39092,0.375,0,0.375,0.75,0.75,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1409245289554_48598_18301,30.472018,15.691993,10.636115,8.239811,9.936368,10.317679,0.75,1,0.75,0.375,1,1,1,1,1,1,1,1
_18_1_ae502ce_1423346641647_869413_49988,41.111589,14.602748,8.361337,10.025283,10.403034,11.594432,0.625,0.875,0.75,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1409245296226_381676_18309,38.846478,14.199898,8.640972,8.88425,10.569149,10.29163,0.75,0.75,0.75,0.75,1,1,0,1,1,1,1,1
_18_0_1_ae502ce_1409323272741_426263_16082,28.247536,14.739291,9.489779,8.079894,12.407125,11.279015,0.625,0.875,0.75,0.75,1,0.5,0,1,1,1,1,1
_18_0_1_ae502ce_1409446413295_208572_14658,27.753381,11.342559,8.717256,9.720242,10.523018,10.941694,0.625,1,0.75,0.75,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1409446438380_216595_14676,47.838483,14.482771,8.655507,8.794589,10.354994,11.441618,0.625,1,0.75,0.75,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1409446429924_944820_14670,41.720618,15.634421,8.581873,9.017702,10.646821,11.049443,0.625,0.875,0.75,0.75,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1409446419894_213569_14664,33.934608,14.781935,8.78482,9.417406,10.639388,11.747661,0.625,0.875,0.75,0.75,0.875,1,1,1,1,1,1,1
_18_0_1_ae502ce_1421632142683_886309_53725,26.759669,13.468696,8.270366,8.449707,10.230704,9.408695,0.625,0.875,1,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1409323225980_261090_16030,29.773837,14.178815,8.014484,8.79737,10.304242,11.704396,0.75,1,0.75,0.75,1,0.875,1,1,1,1,1,1
_18_0_1_ae502ce_1416778165707_747816_52231,32.118193,15.020806,8.181489,8.73466,10.137996,11.279034,0.75,1,0.75,0.375,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1409244814600_337788_17890,29.492491,15.108922,8.336481,8.824327,9.560519,11.553171,0.75,0.875,0.75,0.75,1,1,1,1,1,1,1,1
_18_5_2_ae502ce_1505199165487_638520_59830,23.015194,14.802876,9.513543,9.613362,12.393054,11.565582,0.75,0.875,1,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1418963896215_619107_45455,15.215156,15.524871,9.80901,10.863558,9.469533,15.247905,0.125,0.875,1,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1421632128316_386250_53703,38.406761,13.932965,9.36435,9.92333,10.782734,11.052166,0.625,0.75,1,1,1,1,0,1,1,1,1,1
_18_0_1_ae502ce_1416153948478_249097_46139,19.81947,15.730657,8.789416,9.378486,10.472282,13.103177,0.25,0.875,1,1,1,1,0,1,1,1,1,1
_18_1_ae502ce_1424544204777_100753_52684,25.024021,11.540074,9.410191,9.835355,10.804834,11.349333,0.75,1,1,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1421630683427_70414_53160,34.97624,14.301088,7.634755,8.771896,9.104991,11.767905,0.375,0.875,0.75,0.75,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1421630673163_262958_53148,18.173367,14.747213,8.693148,8.086825,9.885713,11.867437,0.375,0.875,0.75,0.75,1,1,0,1,1,1,1,1
_18_0_1_ae502ce_1416778441384_157787_52311,43.178391,13.356028,8.180189,8.509086,10.59871,11.501685,0.625,1,0.75,0.75,1,1,1,1,1,1,1,1
_18_1_ae502ce_1424545708112_176902_55941,31.118671,12.033629,9.640238,11.831087,10.443813,11.974153,0.75,1,1,1,0.875,1,1,1,1,1,1,1
_18_0_1_ae502ce_1421629473275_590139_51044,31.175902,14.831512,7.670585,8.740545,12.735432,12.813378,0.75,0.875,0.75,0.75,1,1,1,1,1,1,1,1
_17_0_5_ae502ce_1404256436829_489774_14093,21.765265,13.104121,7.897145,10.12406,8.477302,9.512123,0.375,0.75,1,1,1,1,1,1,1,1,1,1
_18_5_1_ae502ce_1501517082573_3994_59235,25.152848,16.856959,7.148127,7.055367,9.102895,10.375677,0.625,1,0.625,0.625,0.75,0.75,1,1,1,1,1,1
_18_1_ae502ce_1424544274689_232188_52745,30.033231,14.932765,7.60738,9.369655,10.082447,10.950242,0.75,1,0.375,1,1,1,1,1,1,1,1,1
_17_0_5_ae502ce_1404256458232_164835_14101,17.471745,14.000893,8.810947,8.374952,8.063857,11.91699,0.75,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1
_18_1_ae502ce_1424545181352_954748_55737,10.617979,17.150723,7.749631,8.000266,11.116167,11.9054,0.75,0.375,0.75,0.75,0.875,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1413161578660_470457_45640,31.128751,15.058869,7.732452,8.348705,9.921493,11.769102,0.75,0.875,0.75,0.75,1,1,1,1,1,1,1,1
_18_5_2_ae502ce_1505197508508_909657_58178,25.717545,11.599002,8.283951,10.115299,10.417922,11.581351,0.625,1,0.75,0.375,0.875,0.875,0,1,1,1,1,1
_17_0_5_ae502ce_1404256515687_631714_14118,15.565225,9.916447,8.388565,8.894539,8.418204,11.254664,0.625,0.75,0.75,0.875,0.375,0.875,1,1,1,1,1,1
_18_5_2_ae502ce_1505197503380_914148_58173,23.346206,20.557375,11.979948,8.286305,10.161358,11.621649,0.375,0.375,0.75,0.75,1,1,1,1,1,1,1,1
_17_0_5_ae502ce_1404256746444_766698_14198,14.229952,12.333399,8.181596,7.743683,7.509185,11.800029,0.375,0.875,1,1,1,1,1,1,1,1,1,1
_17_0_5_ae502ce_1404256657961_45721_14177,31.859081,12.816911,7.056102,7.336188,7.810887,8.390212,0.625,0.875,0.375,0.375,0.375,0.375,1,1,1,1,1,1
_18_0_1_ae502ce_1413161552405_685800_45624,26.414324,15.139022,9.719346,9.404294,9.92185,9.829184,0.625,0.875,1,1,1,1,1,1,1,1,1,1
_18_1_ae502ce_1424550061329_80546_58005,32.795102,15.135094,7.773044,9.255664,9.460584,10.127197,0.75,0.875,0.375,1,1,0.875,1,1,1,1,1,1
_17_0_5_ae502ce_1404256811715_629834_14217,15.677061,12.939616,7.975607,9.920523,8.334361,9.308755,0.75,0.375,1,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1408725025742_408425_20264,14.648928,11.487477,6.827586,8.791572,8.502573,9.801565,0.5,0.75,0.625,0.75,0.75,0.375,1,1,1,1,1,1
_18_0_1_ae502ce_1408725018956_316176_20256,22.808598,11.517959,6.834449,7.028935,8.079637,7.538832,0.375,1,0.625,0.625,0.5,0.625,1,1,1,1,1,1
_18_0_1_ae502ce_1408724679711_178667_20142,24.259518,15.529773,8.557397,8.841753,8.496352,8.994504,0.25,0.75,0.75,0.75,0.875,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1408724735845_920776_20177,27.928257,12.824918,7.859208,9.120339,8.044168,9.087201,0.625,0.75,0.75,1,1,0.875,0,1,1,1,1,1
_17_0_5_ae502ce_1404256720158_106334_14185,37.922654,17.905814,7.760065,8.003885,8.567833,8.795055,0.625,0.25,1,1,1,1,0,1,1,1,1,1
_18_0_1_ae502ce_1408725382299_332188_20447,27.43007,10.178938,8.486382,7.740519,8.914354,9.106372,0.625,0.375,1,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1408725438537_637624_20474,22.210691,12.570216,9.912007,7.978514,8.594203,8.891506,0.625,0.875,1,1,1,1,0,1,1,1,1,1
_18_0_1_ae502ce_1408725447101_431288_20482,24.781722,13.377203,7.593927,7.720815,8.693741,10.758664,0.375,0.375,0.375,1,0.75,0.375,1,1,1,1,1,1
_18_0_1_ae502ce_1408725682641_151331_20714,16.908426,14.987314,10.899516,9.23412,9.715582,10.313868,0.5,0.375,1,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1408726015572_907876_20757,16.640793,13.276995,7.434622,7.348829,8.267853,8.381425,0.375,0.25,0.25,0.625,0.375,0.375,1,1,1,1,1,1
_18_0_1_ae502ce_1408728274406_389285_20932,13.549684,10.055683,8.487768,8.008096,9.563247,10.329845,0.375,0.375,0.75,0.375,0.375,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1408725690363_390794_20722,25.053599,13.262061,7.8654,9.904717,9.904954,10.503431,0.5,0.875,0.75,1,1,1,1,1,1,1,1,1
_18_0_1_ae502ce_1408739122892_622737_21750,11.134012,9.389647,7.962565,7.924506,10.639952,9.273866,0.875,0.875,0.75,0.375,0.75,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1408930022508_921179_13858,12.076892,12.07365,8.451246,8.001416,9.977765,8.917561,0.375,1,0.75,0.75,1,0.75,0,1,1,1,1,1
_18_0_1_ae502ce_1408930013897_651847_13850,22.196913,14.273614,7.810937,8.265851,9.84509,9.888931,0.625,0.75,0.375,0.75,1,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1408728283345_211736_20940,21.791979,11.090183,7.547929,7.528259,9.421993,10.110505,0.5,0.375,0.75,0.375,0.375,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1408728460096_799653_20972,22.871763,11.152274,9.305654,8.905043,10.232136,15.657888,0.5,0.75,1,1,0.875,1,1,1,1,1,1,1
_18_0_1_ae502ce_1409003733235_196404_13388,11.36553,12.137429,7.802498,7.874858,7.980074,12.992931,0.375,0.375,0.75,0.75,0.75,0.75,1,1,1,1,1,1
_18_0_1_ae502ce_1408929951807_77709_13804,22.485001,13.742159,8.611542,8.878828,8.786694,8.940538,0.625,0.875,0.75,1,0.875,1,1,1,1,1,1,1
_18_0_1_ae502ce_1409319024356_664801_14509,24.213357,12.611932,6.978644,6.714335,8.314443,10.051033,0.375,0.75,0.625,0.375,0.75,0.75,0,1,1,1,1,1
_18_0_1_ae502ce_1413167558305_221633_43480,23.422278,14.776233,7.777708,8.282623,8.515969,9.219909,0.625,0.375,0.875,0.75,0.75,0.875,1,1,1,1,1,1
